Schwaiger and Abmayer 2013 - Accounting and Management Information Systems - A Semantic Integration.pdf
Not valid csv text, check the article
Li and Zhu 2008 - Generalized Stochastic Workflow net-based quantitative analysis of business process performance.pdf
"Flow state (dimensão de DevEx);Sim;""To improve DevEx"," teams and organizations should focus on creating the optimal conditions for flow state.""  "
Lehnert et al. 2016 - Value-based process project portfolio management - integrated planning of BPM capability development and process improvement.pdf
Modelo,Utilização,Trecho_do_texto
Devil’s Quadrangle,Construção de medidores,"Process performance indicators are often grouped according to the Devil’s Quadrangle, a multi-dimensional framework that comprises time, cost, quality, and ﬂexibility as performance dimensions (Reijers and Mansar 2005)."
Business Value Scoring (BVS),Apenas citado,"The BVS gives a high-level overview of how to calculate the business value of improvement projects. It includes the six dimensions reputation, clients, business processes, ﬁnancial opportunity, regulation and compliance, and human resources."
SERVQUAL,Apenas citado,A perceived service gap is derived based on the SERVQUAL model.
Balanced Scorecard,Apenas citado,"However, in the determination of the business drivers with the balance score card, it is possible to weight dimensions differently."
Ghasemi and Amyot 2020 - From event logs to goals - a systematic literature review of goal-oriented process mining.pdf
Modelo,Usado_para_construir_medidores?,Trecho_de_Corroboracao
Balanced Scorecard (BSC) – BSC EDImine,Sim,"“Krathu et al. [64] used a bottom-up approach for the identification of KPIs from event logs… This approach, together with a top-down approach for measuring business performance on the strategic level (balanced scorecard, BSC), makes a framework that supports inter-organizational performance evaluation.”"
KPI (Key Performance Indicator) registrado no log,Sim,"“First, a deviation analysis is performed to determine which deviations have a positive impact on the process performance. To this end, deviations are correlated to a selected KPI stored as a field in event log.”"
BPI (Best Practice Implementation Indicator),Sim,“Cho et al. [17] defined 17 BPIs for 29 best practices… They also suggested process mining techniques appropriate for computing each indicator.”
PPI (Process Performance Indicator),Sim,"“In addition, 13 PPIs are suggested to assess the effect of best practices on process performance… Cho et al. gave a detailed explanation on each PPI including how to measure them using event logs.”"
Cleven et al. 2014 - Process management in hospitals - an empirically grounded maturity model.pdf
Modelo,Uso,Trecho que comprova
Hospital Process Orientation (HPO) measurement tool,Construção de medidores,"Tabela 4 inclui vários itens construídos a partir de Gemmel et al. (2008 : 1213) – “Hospital process orientation (HPO): the development of a measurement tool”, por ex.: “The performance of all (care) processes is reviewed on a regular basis Gemmel et al. ( 2008 : 1213)”."
Baldrige Award Framework,Construção de medidores,"Itens do questionário baseiam-se em Goldstein & Schweikhart (2002 : 66) – estudo que valida o Baldrige Award Framework, p.ex.: “The strategy of our hospital is consistently supported on all hierarchical levels Goldstein and Schweikhart ( 2002 : 66)”."
Capability Maturity Model Integration (CMMI),Apenas citado,“Among these a great plenty is based on the well-known Capability Maturity Model Integrated developed by the Software Engineering Institute at Carnegie Mellon University for assessing the maturity of software development processes (e.g. Fisher 2004; Rohloff 2009).”
Stohr and Zhao 2001 - Workflow Automation - Overview and Research Issues.pdf
Modelo,Tipo de Uso,Trecho do Texto
Activity-Based Costing,Construção,"“WfMS also facilitate the application of Activity-based Costing techniques (Cooper and Kaplan, 1991) to allocate costs to services and processes.”"
Balanced Scorecard,Construção,"“A similar observation applies to performance measurement and incentive techniques such as the Balanced Score Card (Kaplan and Norton, 1996).”"
Lee et al. 2020 - A sequential search framework for selecting weights of dispatching rules in manufacturing systems.pdf
indicador,usado_para_construir_medidor,trecho_de_apoio
Setup Times,Sim,“We consider the setup times and throughput of the machines of the photo-lithography process as the key performance indicators (KPIs) of the schedule.”
Throughput,Sim,“We consider the setup times and throughput of the machines of the photo-lithography process as the key performance indicators (KPIs) of the schedule.”
Utilization,Não,“...has to be determined in order to improve the throughput and utilization of systems.”
Dirnberger-Wild and Roth 2024 - Conceptual Framework Introducing the Suc ... Implementing Intelligent Automation-A Qualitative Multiple Case Study.pdf
Modelo,Usado_para_construir_medidores,Trecho_que_corrobora
Digital Economy and Society Index (DESI),Não,“Digitalization is progressing. … as indicated for the European Union by the Digital Economy and Society Index (DESI) – an index monitoring the ‘… overall digital performance and … progress of EU countries in their digital competitiveness’ [1].”
Return on Investment (ROI),Não,"“When evaluating return on investment (ROI), it’s essential to factor in the increased implementation and operational costs of IPA. Nevertheless, research by Flechsig (2021) indicates that the ROI of IPA generally exceeds that of RPA, as the potential benefits of broader application outweigh.”"
Van Looy and Van Den Bergh 2018 - The Effect of Organization Size and Sector on Adopting Business Process Management.pdf
Not valid csv text, check the article
Palanisamy et al. 2018 - Preserving Privacy and Quality of Service in Complex Event Processing through Event Reordering.pdf
Modelo,Usado para construir medidores?,Trechos de apoio  
Utility Metric (Eq. 2),Sim,"""We define a formal utility metric that defines the quality of data in terms of public and private patterns… (Equ. 2)""  "
Reorder Indicator (RI) baseado em z-score,Sim,"""When the adversary observes a potentially reordered sequence … he calculates the reorder indicator (RI)… RI … is calculated as …""  "
Precisão,Sim,"""…we will now evaluate the effectiveness of this attack by evaluating the precision (correctly identified private patterns…)""  "
Revocação (Recall),Sim,"""…and recall (correctly identified private patterns divided by total number of concealed private patterns in the reordered stream) of the attack.""  "
Latência por janela,Sim,"""…we processed 5000 windows and calculated the average processing latency for processing (reordering/suppression) one window."""
Schatten and Schiefer 2007 - Agile Business Process Management with Sense and Respond.pdf
modelo,usado_para_construir_medidores,trechos  
Key Performance Indicators (KPIs),Sim,“Interpret transform events into meaningful business information (e.g. key performance indicators)”  
Business Performance Indicators,Sim,"“Real-time business information: Minimal latency for preparing and analyzing data, and hence, improved visibility and accuracy of business performance indicators.”"
Han et al. 2020 - Bootstrapping natural language querying on process automation data.pdf
Not valid csv text, check the article
Iqbal et al. 2016 - Application of intelligent agents in health-care - review.pdf
Modelo,Usado para construir medidores?,Trecho do texto que comprova a classificação
MUSIQ – Model for Understanding Success in Quality,não (apenas citado),Kaplan HC et al (2012) The Model for Understanding Success in Quality (MUSIQ): building a theory of context in healthcare quality improvement. BMJ Qual Saf 21(1):13–20
Saurez et al. 2020 - A drop-in middleware for serializable DB clustering across geo-distributed sites.pdf
Not valid csv text, check the article
Rodríguez et al. 2013 - SOA-enabled compliance management - instrumenting, assessing, and analyzing service-based business processes.pdf
Modelo,Utilização,Trecho que corrobora
Key Compliance Indicators (KCI),Construção de medidores,"“Similarly, we advocate the use of KCIs to measure how compliant a company is with its compliance requirements and to better target the company’s efforts to check and improve compliance.” (Sec. 3.2)"
Key Performance Indicators (KPI) – modelo de Popova & Sharpanskykh [20],Apenas citado,"“Business performance is commonly measured by means of key indicators, typically key performance indicators [20].” (Sec. 3.2)  |  “In [20], the authors model KPIs and the relationships that exist among them. Our internal, XML-based representation of KCIs is very similar to the model proposed for KPIs…” (Sec. 7.4)"
Pádua and Jabbour 2015 - Promotion and evolution of sustainability perfo ... rocess management - From a literature review to a pentagonal proposal.pdf
Modelo,Uso,Trecho que comprova a classificação
"Método de mensuração em três fases (Fiksel et al., 1999)",Construção,"“Fiksel et al. (1999) detail a method that divides the performance measurement process into three phases: planning, implementation and review (Table I).”"
"Framework de evolução do SPMS (Searcy, 2011)",Construção,“Searcy (2011) developed a framework to structure the evolution of an SPMS (Table II)….”
"Método de análise de processo para seleção de indicadores (Chee Tahir & Darton, 2010)",Construção,“Chee Tahir and Darton (2010) describe a method to evaluate the degree of sustainability… The method … is divided into five steps shown in Table III.”
"Taxonomia de parâmetros de sustentabilidade de processos (Nowak et al., 2011)",Citação,“Nowak et al. (2011) present a taxonomy of parameters for measuring the sustainability of business processes according to the following aspects…”
"Classificação de níveis de indicadores – dimensão/aspecto/sub-aspecto (GRI, 2006)",Citação,"“According to the level of analysis intended in the measurement process, the types of indicators can be divided into dimension, aspect and sub-aspect and indicator (GRI, 2006).”"
Richard et al. 2009 - Measuring organizational performance - Towards methodological best practice.pdf
Modelo,Uso,Trecho do texto que comprova  
Balanced Scorecard,Citado,"“The implementation of balanced scorecards has also increased the atten­tion given to wider aspects of organizational effectiveness in management research. Although primarily used for internal management and control, balanced scorecards explicitly include measures of financial performance, customer outcomes, innovation, and internal processes (Kaplan & Norton, 1996).”  "
Tableau de Bord,Citado,“There is a similar concept in French accounting called the Tableau de Bord.”  
Key Performance Indicators (KPIs),Citado,"“The relationship between measures and performance is also influenced by which mea­sures the firm uses internally and how these are embedded into incentive and control systems within the firm—for example, the firm’s own key performance indicators (KPIs).”  "
Data Envelopment Analysis (DEA),Citado,"“...the formulation of a frontier of performance that is theoretically structured to match with non-parametric linear programming approaches such as Data Envelopment Analysis (DEA; Charnes, Cooper, & Rhodes, 1978).”"
Taylor et al. 2008 - Use of fuzzy reasoning in the simulation of risk events in business processes.pdf
ModeloIndicador,UsadoParaConstruirMedidor,TrechoCorroboracao
Key Performance Indicator (KPI),Sim,"“First, a KPI can be defined.  These are most useful for monitoring the estimated performance of the process during the simulation itself.”"
Key Risk Indicator (KRI),Sim,"“Third, a KRI could be defined.  These are similar to KPIs in many ways however their purpose is different… The simulator allows KPIs and KRIs to be defined separately for simplicity.”"
CycleTime,Sim,“the company is interested in the overall end to end duration of the process which is typically called CycleTime.  The definition of CycleTime in the monitor is very simple; we add a new KPI defined as: @duration;”
Queue Length,Sim,“We also select to monitor the length of the queue for each activity during the simulation and after the simulation is complete.”
Risk Value,Sim,“A graph of these risk values can be seen in Figure 5.… For the purposes of this example we have defined the Risk Value to sit within the range 0-100.”
Risk Level,Sim,“Consider that this company has performed some risk identification and as a result has defined criteria to judge the risk level of each of the instances of this process (the criteria are given in Table 1).”
Pinheiro and Misaghi 2014 - Proposal of a Framework of Lean Governance and Management of Enterprise IT.pdf
Modelo,Usado_para_construir_medidores,Trecho_do_texto_que_corroborra
Key Performance Indicators (KPI),Sim,"“...providing metrics to assess outcomes: Key Performance Indicators (KPI), Key Goal Indicators (KGI), and Critical Success Factors (CSF).”"
Key Goal Indicators (KGI),Sim,"“...providing metrics to assess outcomes: Key Performance Indicators (KPI), Key Goal Indicators (KGI), and Critical Success Factors (CSF).”"
Critical Success Factors (CSF),Sim,"“...providing metrics to assess outcomes: Key Performance Indicators (KPI), Key Goal Indicators (KGI), and Critical Success Factors (CSF).”"
Ru et al. 2014 - Software engineering for multi-tenancy computing challenges and implications.pdf
Indicador,UsadoParaMedidor,Trecho do texto que corrobora  
Response time,Não,"“...quality-of-service (QoS) values, such as response time, throughput, reliability, availability, scalability, reusability, efficiency service period, least resource cost, etc [21][11][25].”  "
Throughput,Não,"“...quality-of-service (QoS) values, such as response time, throughput, reliability, availability, scalability, reusability, efficiency service period, least resource cost, etc [21][11][25].”  "
Reliability,Não,“Reliability: It measures the ability of multi-tenants to keep operating with specified level of performance over time or the reliability of the services themselves [25].”  
Availability,Não,“Availability: It measures the ratio of the total time to the time which a SaaS service is capable of being operable [25].”  
Scalability,Não,“Scalability: It measures the ability to handle or readily enlarge the growing resources [25].”  
Reusability,Não,"“...quality-of-service (QoS) values, such as ... reusability, efficiency service period, least resource cost, etc.”  "
Efficiency service period,Não,"“...quality-of-service (QoS) values, such as ... efficiency service period...”  "
Least resource cost,Não,"“...quality-of-service (QoS) values, such as ... least resource cost, etc.”  "
QoSE (Quality of Service Experience),Não,“scheduling approaches … should consider … (1) the Quality of Service Experience (QoSE) of tenants in different SLA … [13].”  
Deadline,Não,"“each user will only add at most one parameter to consider, such as deadline (related to completion time), response time…”  "
Waiting time,Sim,“It aims to effectively minimize task's waiting time and processing time as well as to reduce tasks' processing cost through effective utilization of cloud resources available.”  
Processing time,Sim,“Figure 7: Total processing time with different number of tasks”  
Makespan,Sim,“This algorithm reduces makespan greatly on the simulation platform…”  
Processing cost,Sim,“…reduce tasks' processing cost through effective utilization of cloud resources available.”
Engel et al. 2016 - Analyzing inter-organizational business processes... iness performance analysis using electronic data interchange messages.pdf
Not valid csv text, check the article
Martens et al. 2011 - Integrated case management history and analytics.pdf
indicador_modelo,usado_para_medidores,trecho_corroboração
Deadline (cumprimento ou violação de prazos),Sim,"“When there is a deadline assigned to a task or a milestone, it seems simple to check if it has passed already. Besides raising alerts in case of timer expiration, there are also warnings for deadlines being relatively near.”"
Duração de atividades ou do caso,Não,"“refers to the timing of events, like a deadline, the duration, the idle-time or the count of repeating or reopening the particular task.”"
Tempo ocioso (idle-time) entre atividades,Não,"“refers to the timing of events, like a deadline, the duration, the idle-time or the count of repeating or reopening the particular task.”"
Número de repetições/reaberturas de uma tarefa,Não,"“refers to the timing of events, like a deadline, the duration, the idle-time or the count of repeating or reopening the particular task.”"
Conclusão de marcos (milestones) principais,Sim,“our history projection provides a shorter list of major milestones that can be used to compute performance indicators and be aggregated for multiple case instances.”
Parra-Calderón et al. 2024 - IDE4ICDS - A Human-Centric and Model-Driven Proposal to Improve the Digitization of Clinical Practice Guideline.pdf
"Six Sigma;Não;""Examples include TOC (Theory Of Constraints) [22]", Six Sigma [88], Lean [75]," and Lean Sigma [77]."""
"Lean;Não;""Examples include TOC (Theory Of Constraints) [22]", Six Sigma [88], Lean [75]," and Lean Sigma [77]."""
"Lean Sigma;Não;""Examples include TOC (Theory Of Constraints) [22]", Six Sigma [88], Lean [75]," and Lean Sigma [77]."""
Hu et al. 2013 - Evaluating and Selecting the Key Performance Measures for Business Process Management Using a Neighborhood Rough Set Methodology.pdf
Modelo,Tipo de Uso,Trecho do Texto  
SCOR,Construção,"To help focus the effort on managing the supply chain’s economic and ecological performance measures, we introduce a based on the sourcing function of the supply chain operations reference SCOR model (Chae, 2009).  "
PMS,Citação,"Some literature has established the organizational need to consider developing performance measurement systems (PMS) for their supply chains (Beamon, 1999).  "
KPI,Citação,"Managing key performance indicators (KPI) is critical for supply chain managers (Chae, 2009). Formal modeling based on analytical tools for supply chain KPI determination have been lacking."
Taherkordi et al. 2018 - Context-Driven and Real-Time Provisioning of Data-Centric IoT Services in the Cloud.pdf
Indicador,Usado_Para_Medidor,Trecho_do_Texto  
Notification delay,medidor,“Figure 14 depicts the imposed notification delay as the number of continuous event notifications … in CARIoT and Orion.”  
Time overhead,medidor,"“Figure 12 depicts the behavior of CARIoT when … the time overhead will be 1,552 milliseconds.”  "
Timeliness,medidor,"“Since the key performance metric in our work is timeliness, the evaluation is mainly focused on notification delays…”  "
Scalability,citado,"“…leveraging the scalability, performance, and pay-as-you-go capabilities of the Cloud…”"
Kovalenko and Bobkov 2019 - About necessity to regulate and automate pro ... n the quality management systems of the mechanical engineering branch.pdf
modelo,usado_para_construir_medidores,trecho_citado
Balanced Scorecard,sim,"“The strategic map is implemented on the basis of a balanced score card that reflects all aspects of the enterprise's activities, both financial and non-financial.”"
Indicator Ruler,sim,“...software tools allow graphically and in various colors to display planned and actual values of indicators in the form of indicator rulers. Visualization is carried out with the help of three color zones...”
Coeficiente de Disciplina de Execução,sim,“...this fact is recorded in the log records of delinquency and it automatically affects the coefficient of performance discipline.”
Key Performance Indicators (KPIs),nao_apenas_citado,"“...the process is developed usually in the form of a ‘picture’ at the time of creation of the QMS and in the future is not updated, not automatically linked to key performance indicators...”"
Truong et al. 2007 - Performance metrics and ontologies for Grid workflows.pdf
"Execution time;Sim;""Performance metrics are categorized into: execution time", counter, data movement, synchronization," ratio and temporal overhead.""  "
"Counter;Sim;""Performance metrics are categorized into: execution time", counter, data movement, synchronization," ratio and temporal overhead.""  "
"Data movement;Sim;""Performance metrics are categorized into: execution time", counter, data movement, synchronization," ratio and temporal overhead.""  "
"Synchronization;Sim;""Performance metrics are categorized into: execution time", counter, data movement, synchronization," ratio and temporal overhead.""  "
"Ratio;Sim;""Performance metrics are categorized into: execution time", counter, data movement, synchronization," ratio and temporal overhead.""  "
"Temporal overhead;Sim;""Performance metrics are categorized into: execution time", counter, data movement, synchronization," ratio and temporal overhead.""  "
Bender 2024 - Towards a process selection method for embedded analytics.pdf
Task-Analytics-Fit (novo constructo baseado em Goodhue & Thompson, 1995),sim,"“Therefore, we innovated a novel construct, referred to as ‘task-analytics-fit’ (PI6)… we built a linking model that maps task classes with different analytics application types.”  "
Task-Technology-Fit (Goodhue & Thompson, 1995),não,“…‘task-analytics-fit’ (PI6). It is inspired by the ‘task-technology-fit’ concept that is long-established in IS research (Goodhue & Thompson 1995).”
Yadegari Ghahderijani 2023 - Change Recommendation in Business Processes.pdf
Not valid csv text, check the article
Borrego and Barba 2014 - Conformance checking and diagnosis for declarative business process models in data-aware scenarios.pdf
Not valid csv text, check the article
Folino and Pontieri 2021 - AI-Empowered Process Mining for Complex Application Scenarios - Survey and Discussion.pdf
Modelo de Indicador,Papel,Trecho do Texto que Corrobora
Predictive monitoring of temporally-aggregated performance indicators of business processes against low-level streaming events [14],usado,"14. Cuzzocrea A, Folino F, Guarascio M, Pontieri L (2019) Predictive monitoring of temporally-aggregated performance indicators of business processes against low-level streaming events."
Predicting performances in business processes using deep neural networks [67],usado,"In [67], a method is proposed for predicting process performances, in terms of aggregate performance measures over a future range of time."
Comparing and combining predictive business process monitoring techniques (QoS violation prediction) [64],usado,…an ensemble strategy is devised in [64] … to build up an ensemble model for predicting whether a process instance will eventually violate a QoS constraint.
Process forecasting: towards proactive business process management [71],apenas citado,"Aggregate-level prediction tasks were recently considered in the PM community, concerning the forecasting of measures/properties for process instances groups, or for the process as a whole and/or its surrounding environment [14, 71]."
Ammirato et al. 2024 - Business process management and digital transition. The case study of an Italian Public University.pdf
Not valid csv text, check the article
Silakova and Nikishina 2022 - Digital transformation of telecom providers management customer system - a process research and effects assessment.pdf
"Customer Satisfaction Index (CSI);Sim;""…the CSI index was raised from 51 % to 79 % (Table 5)"," which indicates a high level of customer satisfaction…"""
"Net Promoter Score (NPS);Sim;""The Consumer Loyalty Index (NPS)"," % 51 % … 75 % … 79 %."""
Ilahi et al. 2016 - Similarity Based Approach for Comparing Home Healthcare Processes Models in Portugal.pdf
Modelo de indicador,Usado_para_construir_medidores (Sim/Não),Trecho que corrobora
Métricas,Não,"“This way, management is enhanced since metrics and process key performance indicators can be derived from similar recorded cases of a certain process model.”"
Process Key Performance Indicators (KPIs),Não,“Managing many variants of the same process may hamper overall efforts to elicit and measure its key performance indicators …”
Buchmann and Karagiannis 2017 - Modelling mobile app requirements for semantic traceability.pdf
Modelo,Uso_para_medidores,Trecho  
KPI Model,Apenas citado,"“…integrates parts of existing modelling languages … with constructs … and can be linked to their motivators (i.e. products, services, **KPIs**) and their IT requirements.” (sec. 3, par. 2)  "
SCOR (Supply Chain Operations Reference) Model,Apenas citado,"“…integrates parts of existing modelling languages … with constructs derived from semi-formal diagrams suggested by **SCOR [57] for supply chain models**…” (sec. 3, par. 2)"
Goel et al. 2022 - Quality-Informed Process Mining - A Case for Standardised Data Quality Annotations.pdf
Indicador,Usado_para_construir_métricas?,Trecho_do_texto_que_corrobor a
Sojourn Time,Sim,"“As a time measure is the difference between two timestamps—sojourn, waiting, service, queuing time—we study the influence of data quality issues on these time measures.”"
Waiting Time,Sim,"“As a time measure is the difference between two timestamps—sojourn, waiting, service, queuing time—we study the influence of data quality issues on these time measures.”"
Service Time,Sim,"“As a time measure is the difference between two timestamps—sojourn, waiting, service, queuing time—we study the influence of data quality issues on these time measures.”"
Queuing Time,Sim,"“As a time measure is the difference between two timestamps—sojourn, waiting, service, queuing time—we study the influence of data quality issues on these time measures.”"
Activity Duration,Não,"“Incorrect timestamps can alter the order of events and, moreover, result in the calculation of incorrect activity durations [5].”"
Weighted Mean (μ),Sim,"“Next, we compute the weighted mean and standard deviation for all such pairs of events…”"
Weighted Standard Deviation (σ),Sim,"“In our implementation, we report on ˆμ and ˆσ to indicate the weighted time measure and to give an idea of its reliability.”"
95% Confidence Interval,Sim,“we use the formula QImeasures±zσ√n to calculate the 95% confidence interval of the average of QI performance measure.”
Hrzek et al. 2013 - Qualitative assessment of business processes.pdf
Modelo,Usado_para_constituir_medidores?,Trechos_que_corrobora
Maturity Level (estrutura de 6 níveis/ SPICE),Sim,"“This model uses a six-level [2] structure for process evaluation, as used in the SPICE-standard.” ; “Currently the levels are used, to evaluate the quality of processes and the methodology in determining the level of maturity.”"
Information by Documents,Sim,“With the help of this value the adherence to delivery dates of required working step results can be controlled and supervised.” ; “The formula for calculation is as follows:”
Degree of Communication,Sim,“Herewith a monitoring of the aim reaching based on the communication during the control meetings takes place.” ; “The formula for calculation is as follows:”
Degree of Process Description,Sim,“The inquiry of the identification number ‘degree of process description’ is based on a realization of allocation matrix.” ; “The formula for the calculation is:”
Process Stability,Sim,“To calculate the index ‘process stability’ a tally sheet is to be used for the translation…” ; “The formula for the calculation is:”
Škrinjar et al. 2008 - The impact of business process orientation on financial and non-financial performance.pdf
Modelo,Utilizado_para_construir_medidores?,Trecho_de_corroboração  
Balanced Scorecard (BSC),Sim,“...a mais detalhada especificação do desempenho organizacional baseada no conceito do balanced scorecard que inclui medidas de desempenho não-financeiras foi utilizada.”  
Multi-Model Performance Framework (MMPF),Não,“O modelo multi-model performance framework (MMPF) de Weerakoon (1996) também é muito interessante e possui quatro dimensões...”  
Performance Prism,Não,"“Um quadro conceitual mais recente é o performance prism, que sugere que um sistema de medição de desempenho deve ser organizado em torno de cinco perspectivas...”  "
Approach de Engenharia,Não,“(1) the engineering approach which measures the input/output ratio;”  
Approach de Sistema,Não,“(2) the system approach which sets objectives for each work unit and measures the achievement of these objectives;”  
Approach de Contabilidade Gerencial,Não,“(3) the management accounting approach measuring the achievement of financial results;”  
Approach Estatístico,Não,“(4) the statistical approach which extends the engineering approach by providing empirically tested information about input/output processes;”  
Approach de Marketing ao Consumidor,Não,“(5) the consumer marketing approach which measures consumer satisfaction;”  
Approach de Conformidade a Especificações,Não,“(6) the ‘conformance to specifications’ approach which advocates the use of a checklist of attributes...”
Ukkusuri and Yushimito 2009 - A methodology to assess the criticality of highway transportation networks.pdf
Modelo,Usado para construir medidores?,Trecho que comprova
Equilibrium Travel Time (tempo total em equilíbrio),sim,"“Este artigo propõe uma medida … — o impacto no tempo total de viagem.” e “Portanto, usamos o valor agregado do tempo de viagem de todos os usuários como medida de desempenho.”"
Volume-Capacity Ratio (V/C),sim,“O último teste é uma comparação de nossa medida de criticidade com uma medida tradicional … o V/C ratio.”
Network Robustness Index (NRI),não,“Scott et al. (2006) … baseado numa medida — o Network Robustness Index (NRI) — de mudança no custo de tempo de viagem…”
O(S) – variável de desempenho de Latora & Marchiori,não,“Latora and Marchiori (2005) … A generic infrastructure is characterized by a variable O(S) that measures its performance.”
Menor Caminho (Shortest Path Length),não,“One potential measure is the length of the shortest path… Latora and Marchiori (2005) use this measure to assess criticality.”
Aumento da distância O-D em grafos de fluxo máximo,não,“Another measure of the performance of a network is the increase of the distance between the origin nodes and sink nodes in a maximum flow graph.”
Throughput / Vazão máxima de rede,não,"“Alternatively, throughput has also been studied in the past as a performance measure. Ratliff et al. (1975) focused on finding the n most vital links in flow networks.”"
Weighted Distance – r-Interdiction Median Problem (RIM),não,“The r-interdiction median problem … subset of r facilities … yields the highest level of weighted distance.”
Coverage Drop – r-Interdiction Covering Problem (RIC),não,“The r-interdiction covering problem … maximizes the resulting drop in coverage.”
Average Network Efficiency Matrix (Nagurney & Qiang),não,“They developed a measure that is an average network efficiency matrix that does not count a pair that has no associated demand.”
Custo adicional de frete (DIETT – NCHRP 525 v11),não,"“…consider only the increased cost of freight movement associated with the detours, and increased inventory costs…”"
Combi et al. 2017 - A Methodological Framework for the Integrated Design ... nsive Care Pathways—an Application to the Management of COPD Patients.pdf
Modelo,Usado_para_medidores?,Trecho_que_corrobora
Healthcare Quality Indicators (HCQIs) – OCDE,Constrói medidores,"“…health care quality indicators (HCQIs) have been proposed by Organization for Economic Cooperation and Development (OECD)… as a way to assess, monitor, and compare the quality of healthcare systems…”"
Indicadores Locais (Local KPIs),Constrói medidores,"“Local KPIs correspond to process and decision metrics and are mostly used to measure activity execution times, costs, and resource consumption.”"
Indicadores Globais (Global KPIs),Constrói medidores,“Global KPIs are used to evaluate the strategic value of the performed (decision) activities both quantitatively and qualitatively.”
Indicador 5 – Performed vaccinations,Constrói medidores,“Indicator 5: Performed vaccinations … Numerator: Number of people aged ≥40 diagnosed with COPD … who received a vaccination … Denominator: Totality of patients aged ≥40 diagnosed with COPD …”
Indicador 7 – Appropriateness of therapy,Constrói medidores,“Indicator 7—Appropriateness of therapy … Numerator: Number of people diagnosed with COPD … stage 2 and receiving only bronchodilator therapy. Denominator: Totality of patients diagnosed with COPD … stage 2.”
Indicador 1 / 2A – Prevalence of patients with suspected COPD,Constrói medidores,“Indicator 1—prevalence of patients with suspected COPD … identification of patients with COPD is based on the following criteria…”
PQI 05 – COPD or asthma in older adults admission rate (AHRQ),Somente citado,"“…closely related to the definition of COPD patients, adopted by the Veneto Region and related to Indicator 1—prevalence of patients with suspected COPD.”"
NQMC:010510 – Use of spirometry testing to confirm COPD,Somente citado,“…quality indicator NQMC:010510 defined as Use of spirometry testing in the assessment and diagnosis of COPD… could rely on the modeled COPD process…”
Taxa de mortalidade por AVC agudo (HCQI – exemplo),Somente citado,"“…we could consider whether the HCQI Acute stroke mortality rate is maintained low, according to the expected features of patients…”"
Cancer mortality rate / número de internações por asma (HCQI – exemplos),Somente citado,"“…cancer mortality rates and the number admissions for asthma are quite traditional quality indicators, to consider in related pathways.”"
Caruso et al. 2023 - Artificial intelligence to counteract “KPI overload ... cess monitoring - the case of anti-corruption in public organizations.pdf
Not valid csv text, check the article
Lee et al. 2020 - Prediction of emergency department patient disposition decision for proactive resource allocation for admission.pdf
indicador,usado_para_medicao?,trecho_que_corroborra  
Acurácia (Accuracy),Sim,"“Accuracy (95% CI) 77.9% (77.7–78.2)…”, Tabela 8  "
Sensibilidade (Sensitivity / True Positive Rate),Sim,“Admission (24.3%) Sensit
Di Leva and Sulis 2017 - A business process methodology to investigate organization management - A hospital case study.pdf
Modelo,TipoUso,Trecho
Six Sigma,Apenas citado,"“Focusing on four methods such as six sigma, benchmarking, BP reengineering, and process mapping they have identified top management support, effective use of information technology, smart choice of the process to be improved and the importance of knowledge sharing and transferability as the critical success factors (Siha and Saad, 2007).”"
Benchmarking,Apenas citado,"“Focusing on four methods such as six sigma, benchmarking, BP reengineering, and process mapping they have identified top management support, effective use of information technology, smart choice of the process to be improved and the importance of knowledge sharing and transferability as the critical success factors (Siha and Saad, 2007).”"
Business Process Reengineering,Apenas citado,"“Focusing on four methods such as six sigma, benchmarking, BP reengineering, and process mapping they have identified top management support, effective use of information technology, smart choice of the process to be improved and the importance of knowledge sharing and transferability as the critical success factors (Siha and Saad, 2007).”"
Process Mapping,Apenas citado,"“Focusing on four methods such as six sigma, benchmarking, BP reengineering, and process mapping they have identified top management support, effective use of information technology, smart choice of the process to be improved and the importance of knowledge sharing and transferability as the critical success factors (Siha and Saad, 2007).”"
Hernández González et al. 2019 - Approaching Green BPM characterisation.pdf
Modelo,Status,Trecho que comprova  
KEI (Key Environmental Indicators) – Nowak et al. 43,usado,“The KEIs presented in Nowak et al43 are formed of a tuple that consists of an ecological characteristic (metric) and an objective value function based on the ecological objectives that the company wishes to attain.”  
Green IT Balanced Scorecard – Wati & Koo 46,usado,"“Wati and Koo46 present a methodology … linking the sustainability factors to their activities … This is later simulated, and the improvements are evaluated.” / Título citado: “An introduction to the Green IT balanced scorecard as a strategic IT management system.”  "
Green Activity-Based Management (Green ABM) – Wesumperuma et al. 53,usado,"“An approach for the sustainable environmental management of business process, denominated as Green activity based management, is presented in Wesumperuma et al.53 The methodology helps capture, measure, model, and provide information about greenhouse gas emissions…”  "
Green BPM Readiness Model – Opitz et al. 7,citado,"“They present an adaptation of the Green readiness model containing the Green BPM factors and the modifications to the life cycle, to which they add the classes employed in the classification.” (modelo mencionado para classificar/publicações, não aplicado a medir processos no artigo)  "
ISO 14051-based Material Flow Cost Accounting System – Trappey et al. 62,usado,“Trappey et al62 present ISO14051-based material flow cost accounting system framework for collaborative Green manufacturing.”  
